"authors","PY","title","idNacsos","doi","includeStudy","effectSize.type","effectNumber","locationOfInformation","studyDesignType","studyDesignType2","studyDesignType3","dependentVariable.co2GHG","dependentVariable.totalCapita","dependentVariable.levelsGrowthrates","logTransformation","largerRoBDummy","Notes.largerRoB","effectSize.informationComplete","effectSize.statisticalEstimate","effectSize.statisticalEstimate.standardized","effectSize.direction","effectSize.cumulativePeriodic","standardError","standardError.standardized","tStatistic","pvalue","confidenceIntervall","sampleSize.total","sampleSize.treatment","sampleSize.control","NumberOfObservations","significanceLevel","mainSpecification","carbonPriceMean","carbonPriceMean.standardized","carbonPriceMeanCurrencyBaseYear.standardized","timeAggregationLevel","entityAggregation","meanEmissions","emissionSector","fuelType","usedData","notes","idStudy","confidenceIntervall.level","confidenceIntervall.lowerBound","confidenceIntervall.upperBound","intervention","intervention_granular","label","did","panel_with_FE","panel_without_FE","synthetic_control","matching","rdd","study_design","idEffect","introduction_date","start_date","end_date","duration","RoB.treat","RoB.control","Notes.RoB.selection","RoB.confounders","Notes.RoB.confounders","RoB.other","Notes.RoB.other","RoB","carbonPriceMean.USD.2010","energy","industry","transport","buildings","industrial_sectors","consumer_sectors","tax","cap_and_trade"
"Erutku, C; Hildebrand, V",2018,"Carbon Tax at the Pump in British Columbia and Quebec","1048992","10.3138/cpp.2017-027","include","price elasticity","1","130, table 3, c1","Panel w/ entity&time FE",NA,NA,"Greenhouse gases  ","Per capita","Levels","log-level",NA,NA,"complete",-0.0262,-0.00588574266666667,"decrease","periodic",0.0081,0.001819638,NA,NA,NA,10,1,9,2520,"0.95",NA,3.68571428571429,17.5,"current","Month","state/region",2.546153668,"Transport","Gasoline","Statistics Canada;CANSIM Table 134-0004;","start and end carbon price from table 1, recalculated with the recalculation information sheet, values from Rivers and Schaufele (2015); carbon price mean calculated from information in Rivers and Schaufele (2015)","1048992_1",NA,NA,NA,"BC carbon tax","BC carbon tax","Erutku & Hildebrand (2018)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"panel FE",108,2008-07-01,1991-01-01,2011-12-31,3.5013698630137,"Probably No","Probably No","All other Canadian provinces serve as control group for two Canadian provinces, BC and Quebec, which is a reasonable control group selection","Probably No","Time and Seasonal fixed effects, as well as other reasonable control variables included","Probably No",NA,"low",16.5569464269005,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"Erutku, C; Hildebrand, V",2018,"Carbon Tax at the Pump in British Columbia and Quebec","1048992","10.3138/cpp.2017-027","include","price elasticity","2","130, table 3, c1","Panel w/ entity&time FE",NA,NA,"Greenhouse gases  ","Per capita","Levels","log-level",NA,NA,"complete",-0.0572,-0.0128497893333333,"decrease","periodic",0.0537,0.012063526,NA,NA,NA,10,1,9,2520,"insignificant",NA,0.951176470588235,4.23410008587176,"current","Month","state/region",2.6017526121372,"Transport","Gasoline","Statistics Canada;CANSIM Table 134-0004;","start and end carbon price from table 1, recalculated with the recalculation information sheet, values from Rivers and Schaufele (2015); carbon price mean : weighted mean on montly basis, carbon price mean standardized: recalculation value from Rivers and Schaufele","1048992_2",NA,NA,NA,"Quebec ETS","Quebec ETS","Erutku & Hildebrand (2018)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"panel FE",109,2007-10-01,1991-01-01,2011-12-31,4.25205479452055,"Probably No","Probably No"," All other Canadian provinces serve as control group for two Canadian provinces, BC and Quebec, which is a reasonable control group selection","Probably No","Time and Seasonal fixed effects, as well as other reasonable control variables included","Yes","The study faces unresolved endogeneity issues by estimating carbon price elasticities for an ETS. Carbon price levels and province level emissions must be expected to have a two way relationship.","high",3.94310716098086,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Erutku, C; Hildebrand, V",2018,"Carbon Tax at the Pump in British Columbia and Quebec","1048992","10.3138/cpp.2017-027","include","price elasticity","3","130, table 3, c2","Panel w/ entity&time FE",NA,NA,"Greenhouse gases  ","Per capita","Levels","log-level",NA,NA,"complete",-0.0264,-0.005930672,"decrease","periodic",0.0074,0.00166238533333333,NA,NA,NA,10,1,9,2520,"0.99",NA,3.68571428571429,17.5,"current","Month","state/region",2.546153668,"Transport","Gasoline","Statistics Canada;CANSIM Table 134-0004;","start and end carbon price from table 1, recalculated with the recalculation information sheet, values from Rivers and Schaufele (2015); carbon price mean calculated from information in Rivers and Schaufele (2015)","1048992_1",NA,NA,NA,"BC carbon tax","BC carbon tax","Erutku & Hildebrand (2018)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"panel FE",110,2008-07-01,1991-01-01,2011-12-31,3.5013698630137,"Probably No","Probably No","All other Canadian provinces serve as control group for two Canadian provinces, BC and Quebec, which is a reasonable control group selection","Probably No","Time and Seasonal fixed effects, as well as other reasonable control variables included","Probably No",NA,"low",16.5569464269005,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"Erutku, C; Hildebrand, V",2018,"Carbon Tax at the Pump in British Columbia and Quebec","1048992","10.3138/cpp.2017-027","include","price elasticity","4","130, table 3, c2","Panel w/ entity&time FE",NA,NA,"Greenhouse gases  ","Per capita","Levels","log-level",NA,NA,"complete",-0.0695,-0.0156129433333333,"decrease","periodic",0.0479,0.0107605753333333,NA,NA,NA,10,1,9,2520,"insignificant",NA,0.951176470588235,4.23410008587176,"current","Month","state/region",2.6017526121372,"Transport","Gasoline","Statistics Canada;CANSIM Table 134-0004;","start and end carbon price from table 1, recalculated with the recalculation information sheet, values from Rivers and Schaufele (2015); carbon price mean : weighted mean on montly basis, carbon price mean standardized: recalculation value from Rivers and Schaufele","1048992_2",NA,NA,NA,"Quebec ETS","Quebec ETS","Erutku & Hildebrand (2018)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"panel FE",111,2007-10-01,1991-01-01,2011-12-31,4.25205479452055,"Probably No","Probably No"," All other Canadian provinces serve as control group for two Canadian provinces, BC and Quebec, which is a reasonable control group selection","Probably No","Time and Seasonal fixed effects, as well as other reasonable control variables included","Yes","The study faces unresolved endogeneity issues by estimating carbon price elasticities for an ETS. Carbon price levels and province level emissions must be expected to have a two way relationship.","high",3.94310716098086,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Erutku, C; Hildebrand, V",2018,"Carbon Tax at the Pump in British Columbia and Quebec","1048992","10.3138/cpp.2017-027","include","price elasticity","5","130, table 3, c3","Panel w/ entity&time FE",NA,NA,"Greenhouse gases  ","Per capita","Levels","log-level",NA,NA,"complete",-0.0123,-0.002763154,"decrease","periodic",0.0081,0.001819638,NA,NA,NA,10,1,9,2919,"insignificant",NA,3.68571428571429,17.5,"current","Month","state/region",2.546153668,"Transport","Gasoline","Statistics Canada;CANSIM Table 134-0004;","start and end carbon price from table 1, recalculated with the recalculation information sheet, values from Rivers and Schaufele (2015); carbon price mean calculated from information in Rivers and Schaufele (2015)","1048992_1",NA,NA,NA,"BC carbon tax","BC carbon tax","Erutku & Hildebrand (2018)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"panel FE",112,2008-07-01,1991-01-01,2015-12-31,7.5041095890411,"Probably No","Probably No","All other Canadian provinces serve as control group for two Canadian provinces, BC and Quebec, which is a reasonable control group selection","Probably No","Time and Seasonal fixed effects, as well as other reasonable control variables included","Probably No",NA,"low",16.7972546096963,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"Erutku, C; Hildebrand, V",2018,"Carbon Tax at the Pump in British Columbia and Quebec","1048992","10.3138/cpp.2017-027","include","price elasticity","6","130, table 3, c3","Panel w/ entity&time FE",NA,NA,"Greenhouse gases  ","Per capita","Levels","log-level",NA,NA,"complete",-0.0431,-0.00968227133333333,"decrease","periodic",0.0239,0.00536905533333333,NA,NA,NA,10,1,9,2919,"insignificant",NA,1.30050505050505,5.78911349921717,"current","Month","state/region",2.6017526121372,"Transport","Gasoline","Statistics Canada;CANSIM Table 134-0004;","start and end carbon price from table 1, recalculated with the recalculation information sheet, values from Rivers and Schaufele (2015); carbon price mean : weighted mean on montly basis, carbon price mean standardized: recalculation value from Rivers and Schaufele","1048992_2",NA,NA,NA,"Quebec ETS","Quebec ETS","Erutku & Hildebrand (2018)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"panel FE",113,2007-10-01,1991-01-01,2015-12-31,8.25479452054794,"Probably No","Probably No"," All other Canadian provinces serve as control group for two Canadian provinces, BC and Quebec, which is a reasonable control group selection","Probably No","Time and Seasonal fixed effects, as well as other reasonable control variables included","Yes","The study faces unresolved endogeneity issues by estimating carbon price elasticities for an ETS. Carbon price levels and province level emissions must be expected to have a two way relationship.","high",5.50097487239793,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Erutku, C; Hildebrand, V",2018,"Carbon Tax at the Pump in British Columbia and Quebec","1048992","10.3138/cpp.2017-027","include","price elasticity","7","130, table 3, c4","Panel w/ entity&time FE",NA,NA,"Greenhouse gases  ","Per capita","Levels","log-level",NA,NA,"complete",-0.0119,-0.00267329533333333,"decrease","periodic",0.0078,0.001752244,NA,NA,NA,10,1,9,2919,"insignificant",NA,3.68571428571429,17.5,"current","Month","state/region",2.546153668,"Transport","Gasoline","Statistics Canada;CANSIM Table 134-0004;","start and end carbon price from table 1, recalculated with the recalculation information sheet, values from Rivers and Schaufele (2015); carbon price mean calculated from information in Rivers and Schaufele (2015)","1048992_1",NA,NA,NA,"BC carbon tax","BC carbon tax","Erutku & Hildebrand (2018)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"panel FE",114,2008-07-01,1991-01-01,2015-12-31,7.5041095890411,"Probably No","Probably No","All other Canadian provinces serve as control group for two Canadian provinces, BC and Quebec, which is a reasonable control group selection","Probably No","Time and Seasonal fixed effects, as well as other reasonable control variables included","Probably No",NA,"low",16.7972546096963,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"Erutku, C; Hildebrand, V",2018,"Carbon Tax at the Pump in British Columbia and Quebec","1048992","10.3138/cpp.2017-027","include","price elasticity","8","130, table 3, c4","Panel w/ entity&time FE",NA,NA,"Greenhouse gases  ","Per capita","Levels","log-level",NA,NA,"complete",-0.054,-0.01213092,"decrease","periodic",0.0217,0.00487483266666667,NA,NA,NA,10,1,9,2919,"0.95",NA,1.30050505050505,5.78911349921717,"current","Month","state/region",2.6017526121372,"Transport","Gasoline","Statistics Canada;CANSIM Table 134-0004;","start and end carbon price from table 1, recalculated with the recalculation information sheet, values from Rivers and Schaufele (2015); carbon price mean : weighted mean on montly basis, carbon price mean standardized: recalculation value from Rivers and Schaufele","1048992_2",NA,NA,NA,"Quebec ETS","Quebec ETS","Erutku & Hildebrand (2018)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"panel FE",115,2007-10-01,1991-01-01,2015-12-31,8.25479452054794,"Probably No","Probably No"," All other Canadian provinces serve as control group for two Canadian provinces, BC and Quebec, which is a reasonable control group selection","Probably No","Time and Seasonal fixed effects, as well as other reasonable control variables included","Yes","The study faces unresolved endogeneity issues by estimating carbon price elasticities for an ETS. Carbon price levels and province level emissions must be expected to have a two way relationship.","high",5.50097487239793,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Gugler, K; Haxhimusa, A; Liebensteiner, M",2021,"Effectiveness of climate policies: Carbon pricing vs. subsidizing renewables","4685134","10.1016/j.jeem.2020.102405","include","introduction effect","1","Table 2, row 8, column ""Predicted emissions/Total""","Panel w/ entity&time FE","other",NA,"CO2","Total","Levels","relative change in percent/100","No",NA,"complete",NA,-0.096,"decrease","periodic",NA,NA,NA,NA,NA,NA,NA,NA,36563,"0.95","main specification",NA,7.82,"current","Day","plant",214116665,"Energy","all fuels","EEX;Transparency_in_Energy_Markets;2018&Gredwatch;GB_National_Grid_Status;2018&PLATTS_PowerVision;SP_Global_Platts_PowerVision;2018","The study estimates the price effect in a non-linear model with including a quadratic effect and a set of interaction terms. So the study does not provide a linear elasticity estimate. Hence no price elasticity value is captured here. Instead the provided total abatemetn estimate at the mean price is captured as introduction effect. The marginal effect size for Germany was evaluated at 8€ and for UK at 20€ as this is the closest to the mean price level. Mean emissions were taken from Table 2, total predicted emissions at 1€, as the sector mean is not provided. mean emissions: daily emissions multiplied by 365 days","4685134_1",NA,NA,NA,"EU ETS","EU ETS","Gugler et al. (2021)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"panel FE",147,2005-01-01,2017-01-01,2018-06-29,1.49041095890411,"Probably No","Not applicable","Considering the effect of the EU ETS on the German and UK power sector, all treated plants are included; there is no control group, as all plants are coverd by the ETS","Probably No","The study includes controll variables for electricity demand, supply of various energy sources, coal and gas input prices and seasonal variables. Time and plant fixed effects included; Heckman selection model deals with generation conditional on operation","Probably No","The endogneity between carbon emissions and allowance prices should be minimal in this case. The study looks at the emissions on the plant level and includes only the energy sector of two countries, whereas the ETS spanns over multiple sectors in a larger number of countries. Single plants should thus have a limited influence on overall allowance prices.","low",10.2748898030083,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"Gugler, K; Haxhimusa, A; Liebensteiner, M",2021,"Effectiveness of climate policies: Carbon pricing vs. subsidizing renewables","4685134","10.1016/j.jeem.2020.102405","include","introduction effect","2","Table 3, row 20, column ""Predicted emissions/Total""","Panel w/ entity&time FE","other",NA,"CO2","Total","Levels","relative change in percent/100","No",NA,"complete",NA,-0.102,"decrease","periodic",NA,NA,NA,NA,NA,NA,NA,NA,14068,"0.95","main specification",NA,19.71,"current","Day","plant",99716905,"Energy","all fuels","EEX;Transparency_in_Energy_Markets;2018&Gredwatch;GB_National_Grid_Status;2018&PLATTS_PowerVision;SP_Global_Platts_PowerVision;2018","The study estimates the price effect in a non-linear model with including a quadratic effect and a set of interaction terms. So the study does not provide a linear elasticity estimate. Hence no price elasticity value is captured here. Instead the provided total abatemetn estimate at the mean price is captured as introduction effect. The marginal effect size for Germany was evaluated at 8€ and for UK at 20€ as this is the closest to the mean price level. Mean emissions were taken from Table 2, total predicted emissions at 1€, as the sector mean is not provided. mean emissions: daily emissions multiplied by 365 days","4685134_1",NA,NA,NA,"UK carbon price support","UK carbon price support","Gugler et al. (2021)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"panel FE",148,2005-01-01,2011-05-27,2018-07-15,7.13972602739726,"Probably No","Not applicable","Considering the effect of the EU ETS on the German and UK power sector, all treated plants are included; there is no control group, as all plants are coverd by the ETS","Probably No","The study includes controll variables for electricity demand, supply of various energy sources, coal and gas input prices and seasonal variables. Time and plant fixed effects included; Heckman selection model deals with generation conditional on operation","Probably No","The endogneity between carbon emissions and allowance prices should be minimal in this case. The study looks at the emissions on the plant level and includes only the energy sector of two countries, whereas the ETS spanns over multiple sectors in a larger number of countries. Single plants should thus have a limited influence on overall allowance prices.","low",26.2286949297834,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
